name,geo_id,total_population,white_alone,education_universe_25plus,no_schooling_completed,high_school_graduate,ged_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years,associate_degree,bachelor_degree,civilian_labor_force_16plus,labor_force_total,civilian_unemployed,income_below_poverty_level,median_household_income,state_code,place_code,year,state_name,place_id,city_name
"Whittier city, California",1600000US0685292,87348,50894,55315,924,11520,833,4325,11383,5076,7530,68551,43016,2941,9400,65489,06,85292,2014,California,06_85292,Whittier
"Yorba Linda city, California",1600000US0686832,67824,50544,45413,255,4849,396,2825,6790,4888,15148,52071,36348,1780,1862,117368,06,86832,2014,California,06_86832,Yorba Linda
"Yuba City city, California",1600000US0686972,65775,44523,42525,2156,9316,1776,2071,8275,4632,4742,51863,32025,4388,8417,53335,06,86972,2014,California,06_86972,Yuba City
"Arvada city, Colorado",1600000US0803455,113775,105457,79442,783,15266,3629,5776,14063,7336,18882,92280,66843,2764,6414,72031,08,03455,2014,Colorado,08_03455,Arvada
"Aurora city, Colorado",1600000US0804000,353381,222225,227725,3312,45962,9394,16056,40240,19854,46057,268825,191009,12395,52155,54702,08,04000,2014,Colorado,08_04000,Aurora
"Boulder city, Colorado",1600000US0807850,105101,93080,,,,,,,,,92810,62714,4454,21507,62797,08,07850,2014,Colorado,08_07850,Boulder
"Centennial city, Colorado",1600000US0812815,107193,93347,75288,264,9438,1670,3918,10458,5774,27361,85201,59327,2539,5147,91354,08,12815,2014,Colorado,08_12815,Centennial
"Colorado Springs city, Colorado",1600000US0816000,445820,350458,290538,2314,46647,10642,23743,49526,28748,62635,354233,236768,16356,58930,53915,08,16000,2014,Colorado,08_16000,Colorado Springs
"Denver city, Colorado",1600000US0820000,663862,520398,467801,6587,65095,17180,19692,65603,25510,125408,535705,378425,17776,101979,54941,08,20000,2014,Colorado,08_20000,Denver
"Fort Collins city, Colorado",1600000US0827425,156473,139809,88824,327,11312,2114,5695,13747,7670,28347,129231,90634,5649,27190,53181,08,27425,2014,Colorado,08_27425,Fort Collins
"Greeley city, Colorado",1600000US0832155,98593,85289,57177,1286,12025,2355,4579,10177,5086,8725,75205,48561,3812,16408,48873,08,32155,2014,Colorado,08_32155,Greeley
"Highlands Ranch CDP, Colorado",1600000US0836410,100192,89874,,,,,,,,,74854,55115,1516,4548,112929,08,36410,2014,Colorado,08_36410,Highlands Ranch CDP
"Lakewood city, Colorado",1600000US0843000,149650,135026,105571,573,20665,4391,6740,18180,8317,23980,122828,83115,3312,15837,54063,08,43000,2014,Colorado,08_43000,Lakewood
"Longmont city, Colorado",1600000US0845970,90189,75498,58105,995,11669,1737,3248,9497,4267,13635,69688,49063,3482,12006,60640,08,45970,2014,Colorado,08_45970,Longmont
"Loveland city, Colorado",1600000US0846465,72647,67489,52883,172,11110,1895,4224,8948,5525,12888,60066,37649,1115,5537,51504,08,46465,2014,Colorado,08_46465,Loveland
"Pueblo city, Colorado",1600000US0862000,108439,78493,71399,363,17435,4184,5228,12764,9424,8678,84756,47198,6107,24499,34653,08,62000,2014,Colorado,08_62000,Pueblo
"Thornton city, Colorado",1600000US0877290,130309,114844,81378,777,19010,4600,6470,11864,6994,14940,94607,70200,3612,13834,67169,08,77290,2014,Colorado,08_77290,Thornton
"Westminster city, Colorado",1600000US0883835,112099,94151,78696,1281,14947,3757,4842,12156,6774,15407,90804,63319,3807,11174,66752,08,83835,2014,Colorado,08_83835,Westminster
"Bridgeport city, Connecticut",1600000US0908000,147608,55760,93062,1649,26922,3964,5976,13657,5935,9362,115204,78959,11523,32058,41846,09,08000,2014,Connecticut,09_08000,Bridgeport
"Danbury city, Connecticut",1600000US0918430,83795,54030,56381,694,15261,2050,2151,5883,2780,10696,67663,48532,3608,9269,69394,09,18430,2014,Connecticut,09_18430,Danbury
"Hartford city, Connecticut",1600000US0937000,124721,45701,72915,2411,21009,4366,2768,9794,4947,6382,96401,60075,11636,40785,28826,09,37000,2014,Connecticut,09_37000,Hartford
