name,geo_id,total_population,white_alone,education_universe_25plus,no_schooling_completed,high_school_graduate,ged_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years,associate_degree,bachelor_degree,civilian_labor_force_16plus,labor_force_total,civilian_unemployed,income_below_poverty_level,median_household_income,state_code,place_code,year,state_name,place_id,city_name
"Lake Elsinore city, California",1600000US0639486,68187,35690,40007,1392,10586,1037,2776,8250,3393,5083,49810,32414,3087,8286,69159,06,39486,2018,California,06_39486,Lake Elsinore
"Lake Forest city, California",1600000US0639496,85619,54985,61634,812,5915,1102,4111,9566,6575,20038,68342,49685,2715,5344,106892,06,39496,2018,California,06_39496,Lake Forest
"Lakewood city, California",1600000US0639892,80132,36809,57282,685,10468,1649,3281,11700,5678,13403,66926,47994,3339,3747,94290,06,39892,2018,California,06_39892,Lakewood
"Lancaster city, California",1600000US0640130,159038,94937,95917,2475,26114,2835,4780,16626,9091,10004,115892,59787,4643,37937,57087,06,40130,2018,California,06_40130,Lancaster
"Livermore city, California",1600000US0641992,90258,65759,63778,649,10232,1518,4784,10551,6494,16778,71675,50456,2114,4398,135350,06,41992,2018,California,06_41992,Livermore
"Lodi city, California",1600000US0642202,66995,38623,43835,1506,10858,1070,2698,6269,4712,7121,50204,32278,2647,11974,59824,06,42202,2018,California,06_42202,Lodi
"Long Beach city, California",1600000US0643000,467353,228023,322605,24403,47413,5897,15208,68974,25678,64856,380653,251344,12880,70449,61610,06,43000,2018,California,06_43000,Long Beach
"Los Angeles city, California",1600000US0644000,3990469,2072924,2784844,93712,486587,44615,109310,389216,170504,627964,3274183,2191769,130664,646765,62474,06,44000,2018,California,06_44000,Los Angeles
"Lynwood city, California",1600000US0644574,70492,38803,42485,2219,11361,1099,1800,6099,1489,1923,52688,31618,2244,11118,57758,06,44574,2018,California,06_44574,Lynwood
"Madera city, California",1600000US0645022,65711,29361,37758,3601,7085,785,2215,4287,1837,2768,46565,30912,4925,19217,44854,06,45022,2018,California,06_45022,Madera
"Manteca city, California",1600000US0645484,81593,56803,54974,1806,15494,1409,3776,9705,6447,7074,64883,38679,2752,7141,68379,06,45484,2018,California,06_45484,Manteca
"Menifee city, California",1600000US0646842,92602,61008,62823,562,17235,1849,5998,13375,6302,6538,71349,41032,3340,8801,74684,06,46842,2018,California,06_46842,Menifee
"Merced city, California",1600000US0646898,83311,53730,47288,1688,9882,1822,2900,8172,3534,5164,62756,35432,3903,26277,45974,06,46898,2018,California,06_46898,Merced
"Milpitas city, California",1600000US0647766,80424,11645,56930,1564,7108,1125,1962,4729,5036,17176,63484,40766,1459,6187,132754,06,47766,2018,California,06_47766,Milpitas
"Mission Viejo city, California",1600000US0648256,95196,73855,70905,1026,9003,1154,4353,9493,7524,23425,80814,52994,1853,4169,121457,06,48256,2018,California,06_48256,Mission Viejo
"Modesto city, California",1600000US0648354,215032,164276,134994,3511,36911,5218,11130,25602,10237,17801,161763,99541,7217,32444,59312,06,48354,2018,California,06_48354,Modesto
"Moreno Valley city, California",1600000US0649270,209051,73698,124423,4266,34723,4109,5704,23614,9591,14860,157228,100388,8329,35250,67949,06,49270,2018,California,06_49270,Moreno Valley
"Mountain View city, California",1600000US0649670,83377,43750,60375,480,4200,384,1123,5105,3115,17762,67263,50151,1376,5455,150405,06,49670,2018,California,06_49670,Mountain View
"Murrieta city, California",1600000US0650076,114982,82876,71804,1706,16791,1089,4244,12630,6827,15448,84233,55881,2853,6648,88717,06,50076,2018,California,06_50076,Murrieta
"Napa city, California",1600000US0650258,79261,65866,55458,1075,9792,737,4644,7510,5505,13190,63424,43306,2687,7272,84200,06,50258,2018,California,06_50258,Napa
"Newport Beach city, California",1600000US0651182,85315,73190,,,,,,,,,74376,45807,1036,8929,124978,06,51182,2018,California,06_51182,Newport Beach
"Norwalk city, California",1600000US0652526,105125,35801,71414,4249,19793,1800,3712,11647,5767,9043,82830,50449,2839,10095,69156,06,52526,2018,California,06_52526,Norwalk
"Oakland city, California",1600000US0653000,429114,150454,318281,9777,45495,6190,12316,40566,19676,86353,355658,249254,13171,58604,76469,06,53000,2018,California,06_53000,Oakland
"Oceanside city, California",1600000US0653322,176090,129981,125180,2306,26772,3288,10417,22467,9785,24387,143499,97262,5651,17230,74387,06,53322,2018,California,06_53322,Oceanside
"Ontario city, California",1600000US0653896,181119,82457,115213,3138,26752,3278,7956,16536,9257,13668,141605,97380,4929,22721,66976,06,53896,2018,California,06_53896,Ontario
"Orange city, California",1600000US0653980,139502,101663,93297,1474,15329,1054,6283,13427,7583,25561,114931,72237,2501,18135,87143,06,53980,2018,California,06_53980,Orange
"Oxnard city, California",1600000US0654652,209886,164395,134226,5549,31876,2664,5298,23995,9425,16805,160744,109248,4416,25062,75836,06,54652,2018,California,06_54652,Oxnard
"Palmdale city, California",1600000US0655156,156661,65899,93869,1644,20986,2384,5888,16741,7839,11342,116513,70844,4257,21970,65894,06,55156,2018,California,06_55156,Palmdale
"Palo Alto city, California",1600000US0655282,66655,37760,,,,,,,,,54883,34843,1394,4323,162319,06,55282,2018,California,06_55282,Palo Alto
"Pasadena city, California",1600000US0656000,141374,63624,103000,2578,14949,1011,3618,12799,7147,28656,116214,73957,2365,21859,77549,06,56000,2018,California,06_56000,Pasadena
"Perris city, California",1600000US0656700,79139,27697,44021,2521,12563,1577,2088,6578,1783,3153,55432,37107,1110,10444,66545,06,56700,2018,California,06_56700,Perris
"Pittsburg city, California",1600000US0657456,72443,26872,45913,1124,9953,1862,3709,7563,4783,6823,55492,39232,2596,5676,81355,06,57456,2018,California,06_57456,Pittsburg
"Pleasanton city, California",1600000US0657792,82377,46355,,,,,,,,,63676,42949,1110,2713,161588,06,57792,2018,California,06_57792,Pleasanton
"Pomona city, California",1600000US0658072,152348,65570,91283,3623,19098,2064,5136,14915,6339,11380,117275,73434,4750,30664,57018,06,58072,2018,California,06_58072,Pomona
"Rancho Cordova city, California",1600000US0659444,74590,44210,52066,1107,9902,1302,5428,9659,5440,9701,58799,36358,1750,10160,63732,06,59444,2018,California,06_59444,Rancho Cordova
"Rancho Cucamonga city, California",1600000US0659451,177742,100511,120636,1251,19636,2386,10142,24536,11186,24872,139578,90270,4375,11535,91983,06,59451,2018,California,06_59451,Rancho Cucamonga
"Redding city, California",1600000US0659920,91777,77301,64373,270,12060,2543,6304,11298,8207,10154,74346,41370,3487,16277,56704,06,59920,2018,California,06_59920,Redding
"Redlands city, California",1600000US0659962,71595,54642,49507,728,8605,1497,3351,5035,4392,11518,57994,36539,1752,8334,71412,06,59962,2018,California,06_59962,Redlands
"Redondo Beach city, California",1600000US0660018,67396,46842,,,,,,,,,53696,39459,1358,2281,121690,06,60018,2018,California,06_60018,Redondo Beach
"Redwood City city, California",1600000US0660102,86186,50664,61123,767,8791,1165,2768,8006,3025,15164,70519,51332,1873,9097,121152,06,60102,2018,California,06_60102,Redwood City
"Rialto city, California",1600000US0660466,103446,65257,61408,2464,16509,2455,3026,9791,4384,4936,78787,50338,5608,15388,62162,06,60466,2018,California,06_60466,Rialto
"Richmond city, California",1600000US0660620,110175,35479,76191,1851,13643,2514,4464,12174,6568,14354,89028,60608,2817,15007,72270,06,60620,2018,California,06_60620,Richmond
"Riverside city, California",1600000US0662000,330080,209083,203947,5483,50330,6113,14345,33980,15849,26817,261471,165821,9020,46014,67850,06,62000,2018,California,06_62000,Riverside
"Rocklin city, California",1600000US0662364,67231,51836,,,,,,,,,52123,33033,1825,2415,94352,06,62364,2018,California,06_62364,Rocklin
"Roseville city, California",1600000US0662938,139110,111786,94228,803,13127,1059,7076,17375,10063,30183,111184,70624,2897,13255,87581,06,62938,2018,California,06_62938,Roseville
"Sacramento city, California",1600000US0664000,508517,225098,345115,13895,63485,7937,19788,55447,29554,77182,401032,256615,16588,76556,65046,06,64000,2018,California,06_64000,Sacramento
"Salinas city, California",1600000US0664224,156275,48158,91456,4455,18230,3459,3379,10895,6348,7888,112404,71338,3486,26172,60965,06,64224,2018,California,06_64224,Salinas
"San Bernardino city, California",1600000US0665000,215929,143789,127269,5486,32277,4933,6066,19607,8814,11047,157976,96435,9184,48876,49791,06,65000,2018,California,06_65000,San Bernardino
"San Buenaventura (Ventura) city, California",1600000US0665042,111120,95410,79134,811,11351,2023,5011,14892,7740,18326,91708,57687,1478,8675,76235,06,65042,2018,California,06_65042,San Buenaventura (Ventura)
"San Clemente city, California",1600000US0665084,64850,53327,46492,450,3939,1191,3180,6683,5799,14583,53353,32766,1475,3679,104213,06,65084,2018,California,06_65084,San Clemente
"San Diego city, California",1600000US0666000,1425999,926159,989494,22275,127065,15674,50953,137913,73687,264622,1169164,787289,40363,179296,79646,06,66000,2018,California,06_66000,San Diego
"San Francisco city, California",1600000US0667000,883305,400727,702565,16795,73562,12288,19695,68182,35127,253594,776750,557529,20560,87087,112376,06,67000,2018,California,06_67000,San Francisco
"San Jose city, California",1600000US0668000,1030119,411976,712659,20975,101396,12438,28935,90186,57305,189186,828096,568826,23558,84442,113036,06,68000,2018,California,06_68000,San Jose
"San Leandro city, California",1600000US0668084,89683,35388,64920,1990,18221,1386,4099,7647,5049,12235,74963,50661,1577,6532,81722,06,68084,2018,California,06_68084,San Leandro
"San Marcos city, California",1600000US0668196,96834,73554,60877,1779,10022,847,3615,8916,4558,15017,75532,50294,1441,10084,74092,06,68196,2018,California,06_68196,San Marcos
"San Mateo city, California",1600000US0668252,105016,54868,78019,292,7568,983,4090,10465,4557,24860,85185,60024,2774,6966,131150,06,68252,2018,California,06_68252,San Mateo
"San Ramon city, California",1600000US0668378,75832,30525,,,,,,,,,58236,40556,1365,2577,175974,06,68378,2018,California,06_68378,San Ramon
"Santa Ana city, California",1600000US0669000,332727,143656,211612,13990,41985,5446,11718,28859,10314,24726,256839,173748,8576,43479,65313,06,69000,2018,California,06_69000,Santa Ana
"Santa Barbara city, California",1600000US0669070,91330,72303,63293,777,8412,956,3942,7699,3944,16100,77171,50513,2297,10709,78381,06,69070,2018,California,06_69070,Santa Barbara
"Santa Clara city, California",1600000US0669084,129489,58332,89736,637,11569,1052,4061,8042,4973,27463,106403,72120,2559,14261,127245,06,69084,2018,California,06_69084,Santa Clara
"Santa Clarita city, California",1600000US0669088,210085,149099,140049,2200,21670,2385,9951,25135,15768,34031,161611,110233,5777,17020,100710,06,69088,2018,California,06_69088,Santa Clarita
"Santa Cruz city, California",1600000US0669112,64729,43908,,,,,,,,,56788,34974,2737,12213,85758,06,69112,2018,California,06_69112,Santa Cruz
"Santa Maria city, California",1600000US0669196,107424,89061,58977,2969,11114,2564,2499,7431,4516,5193,75699,50387,2778,11970,66976,06,69196,2018,California,06_69196,Santa Maria
"Santa Monica city, California",1600000US0670000,91417,69355,,,,,,,,,77587,54426,2772,9432,96138,06,70000,2018,California,06_70000,Santa Monica
"Santa Rosa city, California",1600000US0670098,177587,113551,125952,3289,18946,2886,8705,21872,12216,25127,144293,96117,4562,22711,74774,06,70098,2018,California,06_70098,Santa Rosa
"Simi Valley city, California",1600000US0672016,125844,99506,88918,699,18063,1937,5697,16515,10685,21031,103214,68945,2629,9402,92260,06,72016,2018,California,06_72016,Simi Valley
"South Gate city, California",1600000US0673080,94439,60943,56729,2723,12650,1617,2529,7216,2180,3958,69775,47040,4462,15487,55128,06,73080,2018,California,06_73080,South Gate
"South San Francisco city, California",1600000US0673262,67736,22128,48746,1079,10132,785,2859,6889,3771,13002,57634,37654,632,,102365,06,73262,2018,California,06_73262,South San Francisco
"South Whittier CDP, California",1600000US0673430,65577,24978,41732,1309,13164,1315,2303,7538,2400,5034,50755,32249,1265,4453,87822,06,73430,2018,California,06_73430,South Whittier CDP
"Stockton city, California",1600000US0675000,311189,145895,190895,10138,58269,5734,11891,26830,17611,21071,233360,138548,9831,56917,54297,06,75000,2018,California,06_75000,Stockton
"Sunnyvale city, California",1600000US0677000,153175,58616,114436,1410,9825,955,3201,10719,6690,36385,124878,91494,3489,4891,150450,06,77000,2018,California,06_77000,Sunnyvale
"Temecula city, California",1600000US0678120,114749,81226,69950,894,13855,1511,6039,13573,7426,14712,83671,53124,2213,8780,96402,06,78120,2018,California,06_78120,Temecula
"Thousand Oaks city, California",1600000US0678582,127720,104856,89468,1054,11882,890,4784,12503,8882,23771,103707,65603,2405,7523,104929,06,78582,2018,California,06_78582,Thousand Oaks
"Torrance city, California",1600000US0680000,145181,67929,106030,1032,14631,1627,4627,14952,8915,37403,118686,75164,2350,9855,96492,06,80000,2018,California,06_80000,Torrance
"Tracy city, California",1600000US0680238,91803,52652,56805,1044,14355,1562,4596,9538,5569,9673,70020,49040,1485,6021,98630,06,80238,2018,California,06_80238,Tracy
"Turlock city, California",1600000US0680812,73490,53698,45929,1499,10192,1075,2312,8186,3720,6790,55816,34878,2869,14228,61016,06,80812,2018,California,06_80812,Turlock
"Tustin city, California",1600000US0680854,79787,38115,51337,4253,7030,1317,3070,6679,2640,13235,61759,44858,2411,6132,80142,06,80854,2018,California,06_80854,Tustin
"Union City city, California",1600000US0681204,74568,13936,54492,796,13670,430,1382,7761,2939,13371,62520,42569,1188,3317,123780,06,81204,2018,California,06_81204,Union City
"Upland city, California",1600000US0681344,77002,47323,51216,584,9235,805,4299,8909,5551,10422,61238,40147,1366,9614,72788,06,81344,2018,California,06_81344,Upland
"Vacaville city, California",1600000US0681554,100147,65087,68901,600,13687,3845,6185,15019,7114,11325,78756,46435,1571,5730,90673,06,81554,2018,California,06_81554,Vacaville
"Vallejo city, California",1600000US0681666,121915,40188,86228,1774,17484,3389,6271,16927,9926,16641,100343,65221,4955,11493,77543,06,81666,2018,California,06_81666,Vallejo
"Victorville city, California",1600000US0682590,122305,70153,70743,1120,19533,3654,5060,13186,6914,6107,85545,45196,3551,24235,50828,06,82590,2018,California,06_82590,Victorville
"Visalia city, California",1600000US0682954,133783,85269,81068,1394,15921,3397,6753,13568,9616,12981,94625,58757,3749,21313,63737,06,82954,2018,California,06_82954,Visalia
"Vista city, California",1600000US0682996,101227,81390,66680,1767,14636,1947,2738,12666,6189,11494,80155,56025,2076,10748,76889,06,82996,2018,California,06_82996,Vista
"Walnut Creek city, California",1600000US0683346,69814,49528,,,,,,,,,61508,35174,1739,3615,110539,06,83346,2018,California,06_83346,Walnut Creek
"West Covina city, California",1600000US0684200,106314,39547,72854,3017,16779,1887,3882,12753,5224,15748,85374,54239,3038,9613,82474,06,84200,2018,California,06_84200,West Covina
"Westminster city, California",1600000US0684550,90931,26624,65320,4729,11912,1001,3002,9053,5455,13132,73177,42276,1903,13894,62618,06,84550,2018,California,06_84550,Westminster
"Whittier city, California",1600000US0685292,86060,43187,61155,1622,16245,903,3688,11082,5162,10559,70045,45992,1697,7355,81801,06,85292,2018,California,06_85292,Whittier
"Yorba Linda city, California",1600000US0686832,67804,48986,,,,,,,,,53192,32911,907,3760,125819,06,86832,2018,California,06_86832,Yorba Linda
"Yuba City city, California",1600000US0686972,66988,44198,44307,2571,8892,1554,3939,7267,4485,5596,51278,30443,2914,9189,58057,06,86972,2018,California,06_86972,Yuba City
"Arvada city, Colorado",1600000US0803455,120127,110226,89547,279,16859,2849,6925,11537,7161,26708,99924,69701,2398,5642,87955,08,03455,2018,Colorado,08_03455,Arvada
"Aurora city, Colorado",1600000US0804000,373487,226683,249913,6049,59275,10657,14527,36611,23373,48253,293565,211754,8487,35970,63128,08,04000,2018,Colorado,08_04000,Aurora
"Boulder city, Colorado",1600000US0807850,107355,92242,,,,,,,,,95034,61881,2147,18261,62207,08,07850,2018,Colorado,08_07850,Boulder
"Broomfield city, Colorado",1600000US0809280,69267,60869,,,,,,,,,55648,41195,1290,4680,95800,08,09280,2018,Colorado,08_09280,Broomfield
"Centennial city, Colorado",1600000US0812815,110822,94183,75835,148,9138,1901,2959,10035,6051,26398,87438,61794,1648,3448,110443,08,12815,2018,Colorado,08_12815,Centennial
"Colorado Springs city, Colorado",1600000US0816000,472666,363389,312822,2516,48502,11291,21837,50490,33076,72577,372579,252936,10458,51057,65331,08,16000,2018,Colorado,08_16000,Colorado Springs
"Denver city, Colorado",1600000US0820000,716492,544519,519579,6503,63176,15542,22204,62475,28713,162103,590285,434935,15631,79859,68377,08,20000,2018,Colorado,08_20000,Denver
"Fort Collins city, Colorado",1600000US0827425,167823,148431,99695,440,9328,2628,5772,13192,8688,32110,140747,98639,5408,25419,65635,08,27425,2018,Colorado,08_27425,Fort Collins
"Greeley city, Colorado",1600000US0832155,107345,94570,64025,1530,13492,4278,6374,8797,6212,10045,82208,52718,2582,19346,58067,08,32155,2018,Colorado,08_32155,Greeley
"Highlands Ranch CDP, Colorado",1600000US0836410,108257,98361,,,,,,,,,83435,61762,1766,1241,124795,08,36410,2018,Colorado,08_36410,Highlands Ranch CDP
"Lakewood city, Colorado",1600000US0843000,156779,135426,117067,1404,21428,4354,6333,19799,7788,29938,132987,92001,3006,13219,70654,08,43000,2018,Colorado,08_43000,Lakewood
"Longmont city, Colorado",1600000US0845970,95986,84493,66798,945,9816,1830,5739,9536,5215,18727,77375,51741,2009,6461,78322,08,45970,2018,Colorado,08_45970,Longmont
"Loveland city, Colorado",1600000US0846465,77444,72849,54138,502,10983,1339,3786,10093,5364,12711,61459,42306,716,4351,74876,08,46465,2018,Colorado,08_46465,Loveland
"Pueblo city, Colorado",1600000US0862000,111751,85916,77054,890,16167,5852,7017,15955,8302,10073,90044,48271,3911,23826,41012,08,62000,2018,Colorado,08_62000,Pueblo
"Thornton city, Colorado",1600000US0877290,139430,114139,86993,1395,18692,4875,7098,10744,8491,17874,103972,76274,2393,9602,74690,08,77290,2018,Colorado,08_77290,Thornton
"Westminster city, Colorado",1600000US0883835,113473,99666,79862,1310,12902,3777,6037,12749,5723,20376,93700,67607,1915,6192,71626,08,83835,2018,Colorado,08_83835,Westminster
"Bridgeport city, Connecticut",1600000US0908000,144898,49468,92245,1465,26437,3604,4956,11350,7117,10930,115361,78269,9205,34026,44433,09,08000,2018,Connecticut,09_08000,Bridgeport
"Danbury city, Connecticut",1600000US0918430,84731,47412,55851,1783,13825,1604,3399,4695,4111,9677,66998,49003,1936,11282,66820,09,18430,2018,Connecticut,09_18430,Danbury
"Hartford city, Connecticut",1600000US0937000,122591,35129,77664,2248,22906,5354,3127,11186,5812,7397,95332,54220,4855,36309,30444,09,37000,2018,Connecticut,09_37000,Hartford
"New Britain city, Connecticut",1600000US0950370,72440,52573,45276,837,12806,1520,3494,4840,3566,6544,57214,36786,3145,11539,46218,09,50370,2018,Connecticut,09_50370,New Britain
"New Haven city, Connecticut",1600000US0952000,130407,57087,81543,1101,24373,2365,2617,7627,2779,12228,102940,66797,5259,31140,41950,09,52000,2018,Connecticut,09_52000,New Haven
"Norwalk city, Connecticut",1600000US0955990,89049,65383,66285,1502,12564,1284,3194,7828,4383,17582,73016,50429,2654,11300,80338,09,55990,2018,Connecticut,09_55990,Norwalk
"Stamford city, Connecticut",1600000US0973000,129770,86198,92602,1070,15779,2132,4590,8067,4603,25602,106924,76862,4934,14560,86993,09,73000,2018,Connecticut,09_73000,Stamford
"Waterbury city, Connecticut",1600000US0980000,108086,65751,70922,1232,24971,3304,4600,10949,4465,7049,84874,54534,5349,21149,41256,09,80000,2018,Connecticut,09_80000,Waterbury
"Wilmington city, Delaware",1600000US1077580,70653,26621,49856,623,18676,1277,1839,5682,2878,9087,56863,36142,3363,15451,45115,10,77580,2018,Delaware,10_77580,Wilmington
"Washington city, District of Columbia",1600000US1150000,702455,296747,500176,4994,67855,15045,17992,43538,13948,129782,586358,414568,31074,108055,85203,11,50000,2018,District of Columbia,11_50000,Washington
"Alafaya CDP, Florida",1600000US1200410,92740,70502,,,,,,,,,75700,54009,1299,6807,71288,12,00410,2018,Florida,12_00410,Alafaya CDP
"Boca Raton city, Florida",1600000US1207300,99241,86155,,,,,,,,,84631,46907,2663,6745,91438,12,07300,2018,Florida,12_07300,Boca Raton
"Boynton Beach city, Florida",1600000US1207875,78038,41802,59258,503,14503,2166,3824,10350,4215,11428,66025,42457,3319,11174,53755,12,07875,2018,Florida,12_07875,Boynton Beach
"Brandon CDP, Florida",1600000US1208150,119778,82700,83096,519,20307,3508,5328,10706,8978,19166,98544,63694,3535,11288,61372,12,08150,2018,Florida,12_08150,Brandon CDP
"Cape Coral city, Florida",1600000US1210275,189342,170640,145427,1171,48417,6089,10569,16436,16252,25514,162295,91717,3291,16433,60197,12,10275,2018,Florida,12_10275,Cape Coral
"Clearwater city, Florida",1600000US1212875,116484,88067,88118,625,22450,2913,6942,14004,7753,16159,96619,58806,3185,21642,45764,12,12875,2018,Florida,12_12875,Clearwater
"Coral Springs city, Florida",1600000US1214400,133493,89008,89460,1456,16735,3307,5175,12931,9458,23957,103505,71874,4191,10582,75479,12,14400,2018,Florida,12_14400,Coral Springs
"Davie town, Florida",1600000US1216475,106565,80700,73893,728,16461,1685,4118,9643,5953,16701,87160,61102,1387,14535,75202,12,16475,2018,Florida,12_16475,Davie town
"Daytona Beach city, Florida",1600000US1216525,68862,39297,47252,773,12559,1913,2543,5969,5160,7557,59125,30666,2818,14100,39292,12,16525,2018,Florida,12_16525,Daytona Beach
"Deerfield Beach city, Florida",1600000US1216725,80854,54902,64179,1653,17962,2736,5864,7734,4931,10693,69608,41593,2324,11748,45172,12,16725,2018,Florida,12_16725,Deerfield Beach
"Delray Beach city, Florida",1600000US1217100,69356,45110,54895,1845,11192,1232,2850,6908,4671,12395,60462,35583,1836,8478,61179,12,17100,2018,Florida,12_17100,Delray Beach
"Deltona city, Florida",1600000US1217200,91946,67261,63911,1005,20799,3346,7866,6135,9848,7644,72703,41466,2016,9598,53710,12,17200,2018,Florida,12_17200,Deltona
"Fort Lauderdale city, Florida",1600000US1224000,182611,111851,141771,1369,29359,3727,6118,18108,12659,31457,158415,98693,7265,29133,59290,12,24000,2018,Florida,12_24000,Fort Lauderdale
"Fort Myers city, Florida",1600000US1224125,82260,50588,59474,1952,16517,1994,2842,8433,4068,11012,67088,34358,1633,13357,41742,12,24125,2018,Florida,12_24125,Fort Myers
"Gainesville city, Florida",1600000US1225175,133851,84163,72003,2562,11403,1962,3765,8944,7633,18395,115692,69357,3982,35117,38559,12,25175,2018,Florida,12_25175,Gainesville
"Hialeah city, Florida",1600000US1230000,238950,219812,178487,12136,49578,4726,7319,14636,14639,22291,204693,129109,5655,43042,38252,12,30000,2018,Florida,12_30000,Hialeah
"Hollywood city, Florida",1600000US1232000,154813,100042,110712,2298,28452,3256,4216,18668,10277,18511,127409,86266,5892,14988,52288,12,32000,2018,Florida,12_32000,Hollywood
"Homestead city, Florida",1600000US1232275,70469,44953,41518,2469,7992,1091,2348,5681,3942,5149,48311,32409,2046,13821,44134,12,32275,2018,Florida,12_32275,Homestead
"Jacksonville city, Florida",1600000US1235000,903896,524891,615715,8487,155344,24391,49923,83622,60178,113392,719257,474330,26795,132478,54269,12,35000,2018,Florida,12_35000,Jacksonville
"Jupiter town, Florida",1600000US1235875,65544,56665,,,,,,,,,55633,35938,1301,,88384,12,35875,2018,Florida,12_35875,Jupiter town
"Kendall CDP, Florida",1600000US1236100,75979,67045,56989,735,10733,805,1605,8080,5790,15195,63163,38112,1086,9811,72546,12,36100,2018,Florida,12_36100,Kendall CDP
"Kissimmee city, Florida",1600000US1236950,73596,51874,51281,548,17338,2140,1452,7728,4811,7721,60437,39848,2806,19097,35574,12,36950,2018,Florida,12_36950,Kissimmee
"Lakeland city, Florida",1600000US1238250,110494,78754,77243,1152,23780,3545,4635,9955,6542,13503,90960,52602,2386,18928,46593,12,38250,2018,Florida,12_38250,Lakeland
"Largo city, Florida",1600000US1239425,85008,74801,66250,312,18359,3424,6838,9491,6545,10221,73709,43113,3170,8210,42875,12,39425,2018,Florida,12_39425,Largo
"Lauderhill city, Florida",1600000US1239550,72081,9190,46105,1447,16901,1256,2382,7133,3210,5864,54678,36004,2713,15273,38899,12,39550,2018,Florida,12_39550,Lauderhill
"Lehigh Acres CDP, Florida",1600000US1239925,135272,97207,85719,1376,25216,5748,6150,12617,6263,10111,102210,68299,3371,25185,47348,12,39925,2018,Florida,12_39925,Lehigh Acres CDP
"Melbourne city, Florida",1600000US1243975,82823,64212,58411,156,13163,2488,4560,8064,7448,9771,68160,39057,1390,14028,49142,12,43975,2018,Florida,12_43975,Melbourne
"Miami city, Florida",1600000US1245000,470911,358137,356950,12109,86093,7762,10435,36647,26868,64173,395662,246734,10627,100683,41818,12,45000,2018,Florida,12_45000,Miami
"Miami Beach city, Florida",1600000US1245025,91715,72503,74754,772,14364,929,2240,6522,5615,22093,80250,56935,2634,12362,55058,12,45025,2018,Florida,12_45025,Miami Beach
"Miami Gardens city, Florida",1600000US1245060,113085,24466,74786,2913,28342,2568,3784,8662,5534,8416,89395,51677,3529,26242,46274,12,45060,2018,Florida,12_45060,Miami Gardens
"Miramar city, Florida",1600000US1245975,140827,52305,93265,1603,27264,2030,11356,13832,7938,11815,108124,73851,2400,9879,68293,12,45975,2018,Florida,12_45975,Miramar
"North Port city, Florida",1600000US1249675,68637,,,,,,,,,,60219,31155,324,,70281,12,49675,2018,Florida,12_49675,North Port
"Orlando city, Florida",1600000US1253000,285705,167127,205989,2648,42338,5058,8538,24946,23314,51956,234725,168698,7907,45517,51820,12,53000,2018,Florida,12_53000,Orlando
"Palm Bay city, Florida",1600000US1254000,114190,83716,82276,1087,24872,4009,5886,12783,8007,13363,94585,50495,2811,15253,45858,12,54000,2018,Florida,12_54000,Palm Bay
"Palm Coast city, Florida",1600000US1254200,87617,70632,66108,772,20625,3932,5710,7941,8050,9552,73556,37880,1308,8769,59149,12,54200,2018,Florida,12_54200,Palm Coast
"Palm Harbor CDP, Florida",1600000US1254350,65994,,,,,,,,,,55631,31713,1501,4206,59672,12,54350,2018,Florida,12_54350,Palm Harbor CDP
"Pembroke Pines city, Florida",1600000US1255775,172387,106193,118709,2088,31820,4313,11302,14428,13070,22665,140917,84967,5507,22860,60825,12,55775,2018,Florida,12_55775,Pembroke Pines
"Pine Hills CDP, Florida",1600000US1256825,90070,13669,53613,1430,13857,4027,2841,9999,4065,5626,66231,41587,3421,28405,38158,12,56825,2018,Florida,12_56825,Pine Hills CDP
"Plantation city, Florida",1600000US1257425,94291,58946,66691,700,10605,1954,2800,8650,9247,17964,75729,50566,1991,8542,75920,12,57425,2018,Florida,12_57425,Plantation
"Poinciana CDP, Florida",1600000US1257900,71331,48010,42682,1968,9986,2391,2438,5440,4588,3848,51016,27442,1038,,52584,12,57900,2018,Florida,12_57900,Poinciana CDP
"Pompano Beach city, Florida",1600000US1258050,111930,64154,85257,3125,23159,3024,5107,10569,6060,12690,95067,56277,2887,20577,52177,12,58050,2018,Florida,12_58050,Pompano Beach
"Port Charlotte CDP, Florida",1600000US1258350,64815,54629,50832,521,15626,4449,5402,6929,4984,5487,56525,26787,1310,6968,49793,12,58350,2018,Florida,12_58350,Port Charlotte CDP
"Port St. Lucie city, Florida",1600000US1258715,195251,144022,138279,2208,32655,8564,12181,20796,16855,20442,158967,91688,4717,13482,60813,12,58715,2018,Florida,12_58715,Port St. Lucie
"Riverview CDP, Florida",1600000US1260950,89982,63807,61837,1108,13834,4026,4401,9275,7152,11476,72566,50762,3377,8352,67744,12,60950,2018,Florida,12_60950,Riverview CDP
"St. Petersburg city, Florida",1600000US1263000,265100,178420,195197,3012,42735,10043,14298,24902,15479,46915,222257,144628,6030,31891,58057,12,63000,2018,Florida,12_63000,St. Petersburg
"Spring Hill CDP, Florida",1600000US1268350,117519,99768,85081,899,23180,5035,7648,14648,9581,9503,95769,47580,3492,17666,49112,12,68350,2018,Florida,12_68350,Spring Hill CDP
"Sunrise city, Florida",1600000US1269700,95461,50272,69921,724,14740,2509,4730,9440,9489,15199,80710,53358,3005,6531,50284,12,69700,2018,Florida,12_69700,Sunrise
